성별,연령,키,몸무게학업성적,경제상태,건강인지,운동일수,스트레스인지,피로회복정도,음주경험,흡연경험,주중_인터넷이용시간,주말_인터넷이용시간
1.0,15.0,177.0,67.0,5.0,2.0,2.0,4.0,5.0,2.0,2.0,480.0,480.0
1.0,15.0,170.0,63.0,4.0,3.0,1.0,8.0,3.0,2.0,2.0,0.0,0.0
2.0,13.0,163.0,50.8,2.0,2.0,2.0,6.0,3.0,1.0,1.0,0.0,80.0
2.0,12.0,153.0,38.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,180.0,300.0
1.0,14.0,163.0,50.0,2.0,1.0,2.0,8.0,1.0,1.0,1.0,120.0,120.0
1.0,12.0,167.0,65.3,1.0,1.0,1.0,4.0,4.0,1.0,1.0,60.0,90.0
2.0,12.0,147.0,43.0,3.0,3.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0
2.0,13.0,169.4,60.6,2.0,2.0,4.0,6.0,5.0,1.0,1.0,30.0,410.0
2.0,13.0,154.0,46.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,90.0,180.0
2.0,12.0,151.0,32.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,90.0,600.0
2.0,12.0,151.0,38.0,2.0,2.0,3.0,3.0,5.0,1.0,1.0,30.0,30.0
2.0,12.0,160.0,50.2,2.0,1.0,1.0,4.0,2.0,1.0,1.0,120.0,200.0
2.0,13.0,159.8,62.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0
1.0,12.0,170.0,57.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,60.0,120.0
1.0,12.0,150.0,39.0,3.0,3.0,2.0,2.0,4.0,1.0,1.0,120.0,180.0
1.0,12.0,141.0,40.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,10.0,10.0
1.0,13.0,161.4,52.8,2.0,1.0,1.0,7.0,3.0,2.0,1.0,120.0,120.0
1.0,12.0,169.9,54.2,1.0,1.0,3.0,4.0,3.0,1.0,1.0,60.0,120.0
2.0,12.0,150.4,40.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,180.0,120.0
2.0,13.0,160.8,62.4,2.0,2.0,2.0,3.0,4.0,1.0,1.0,80.0,270.0
1.0,12.0,160.8,64.5,1.0,1.0,1.0,6.0,3.0,2.0,1.0,60.0,80.0
1.0,12.0,155.2,60.3,1.0,1.0,2.0,2.0,3.0,1.0,1.0,120.0,290.0
2.0,12.0,158.0,46.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,120.0,240.0
1.0,13.0,169.5,52.2,3.0,3.0,3.0,1.0,2.0,1.0,1.0,120.0,240.0
1.0,13.0,171.2,59.8,1.0,2.0,1.0,5.0,1.0,1.0,1.0,60.0,120.0
1.0,13.0,165.1,48.9,2.0,2.0,2.0,3.0,2.0,1.0,1.0,30.0,60.0
1.0,13.0,159.0,38.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,60.0,120.0
2.0,13.0,160.6,65.4,2.0,1.0,1.0,1.0,4.0,1.0,1.0,50.0,70.0
2.0,13.0,153.0,48.0,4.0,2.0,2.0,5.0,2.0,1.0,1.0,0.0,90.0
